form,lang,count,per_thousand,stopword
painting,nl,16,0.681,no
read,nl,16,0.681,no
schilders,nl,16,0.681,no
send,nl,16,0.681,no
that’s,nl,16,0.681,no
warm,nl,16,0.681,no
à,nl,15,0.638,no
come,nl,15,0.638,no
dank,nl,15,0.638,no
days,nl,15,0.638,no
everyone,nl,15,0.638,no
helvoirt,nl,15,0.638,no
kan,nl,15,0.638,no
lot,nl,15,0.638,no
no,nl,15,0.638,no
roos,nl,15,0.638,no
those,nl,15,0.638,no
vinden,nl,15,0.638,no
would,nl,15,0.638,no
ander,nl,14,0.595,no
aunt,nl,14,0.595,no
back,nl,14,0.595,no
because,nl,14,0.595,no
before,nl,14,0.595,no
book,nl,14,0.595,no
druk,nl,14,0.595,no
eduard,nl,14,0.595,no
gij,nl,14,0.595,no
goupil,nl,14,0.595,no
groeten,nl,14,0.595,no
kerel,nl,14,0.595,no
kunnen,nl,14,0.595,no
mauve,nl,14,0.595,no
new,nl,14,0.595,no
seen,nl,14,0.595,no
tante,nl,14,0.595,no
thanks,nl,14,0.595,no
tot,nl,14,0.595,no
v,nl,14,0.595,no
village,nl,14,0.595,no
want,nl,14,0.595,no
you’re,nl,14,0.595,no
zeg,nl,14,0.595,no
zich,nl,14,0.595,no
zooveel,nl,14,0.595,no
art,nl,13,0.553,no
chap,nl,13,0.553,no
each,nl,13,0.553,no
first,nl,13,0.553,no
groet,nl,13,0.553,no
hooren,nl,13,0.553,no
its,nl,13,0.553,no
long,nl,13,0.553,no
misschien,nl,13,0.553,no
mooie,nl,13,0.553,no
only,nl,13,0.553,no
other,nl,13,0.553,no
our,nl,13,0.553,no
sure,nl,13,0.553,no
tell,nl,13,0.553,no
willem,nl,13,0.553,no
worden,nl,13,0.553,no
zooals,nl,13,0.553,no
amsterdam,nl,12,0.51,no
any,nl,12,0.51,no
believe,nl,12,0.51,no
best,nl,12,0.51,no
brussels,nl,12,0.51,no
dagen,nl,12,0.51,no
few,nl,12,0.51,no
gelegenheid,nl,12,0.51,no
geloof,nl,12,0.51,no
graag,nl,12,0.51,no
happy,nl,12,0.51,no
hein,nl,12,0.51,no
house,nl,12,0.51,no
imagine,nl,12,0.51,no
isn’t,nl,12,0.51,no
jaar,nl,12,0.51,no
kunst,nl,12,0.51,no
