form,lang,count,per_thousand,stopword
contra,grc,9,0.631,no
cus,grc,9,0.631,no
declinantur,grc,9,0.631,no
duo,grc,9,0.631,no
gradus,grc,9,0.631,no
grecis,grc,9,0.631,no
inuenitur,grc,9,0.631,no
iungitur,grc,9,0.631,no
litteris,grc,9,0.631,no
lus,grc,9,0.631,no
masculina,grc,9,0.631,no
qua2am uis,grc,9,0.631,no
qualitas,grc,9,0.631,no
qualitatem,grc,9,0.631,no
romanus,grc,9,0.631,no
secunda,grc,9,0.631,no
semþper,grc,9,0.631,no
seruant,grc,9,0.631,no
seu,grc,9,0.631,no
significant,grc,9,0.631,no
solu2um,grc,9,0.631,no
substantia2am,grc,9,0.631,no
tres,grc,9,0.631,no
¢quib;bus,grc,8,0.561,no
aduerbiu2um,grc,8,0.561,no
agnomen,grc,8,0.561,no
alii,grc,8,0.561,no
au¯autem,grc,8,0.561,no
bonus,grc,8,0.561,no
comparatio,grc,8,0.561,no
cor¯orreptum,grc,8,0.561,no
corpus,grc,8,0.561,no
culus,grc,8,0.561,no
desinit,grc,8,0.561,no
dixerunt,grc,8,0.561,no
doctior,grc,8,0.561,no
eis,grc,8,0.561,no
forma,grc,8,0.561,no
genitiui,grc,8,0.561,no
genitiuus,grc,8,0.561,no
habeant,grc,8,0.561,no
idcirco,grc,8,0.561,no
latini,grc,8,0.561,no
minor,grc,8,0.561,no
modo,grc,8,0.561,no
multis,grc,8,0.561,no
nascitur,grc,8,0.561,no
natura,grc,8,0.561,no
numeru2um,grc,8,0.561,no
numerus,grc,8,0.561,no
oratio,grc,8,0.561,no
pares,grc,8,0.561,no
posst¯sunt,grc,8,0.561,no
primitiuoru2um,grc,8,0.561,no
qm¯quoniam,grc,8,0.561,no
quæda2am,grc,8,0.561,no
qui,grc,8,0.561,no
sin,grc,8,0.561,no
suþperlatiui,grc,8,0.561,no
suþperlatiuu2um,grc,8,0.561,no
tunc,grc,8,0.561,no
uersa,grc,8,0.561,no
uidetur,grc,8,0.561,no
uno,grc,8,0.561,no
uocali,grc,8,0.561,no
¢quibusda2am,grc,7,0.491,no
aduerbio,grc,7,0.491,no
casu,grc,7,0.491,no
corripitur,grc,7,0.491,no
decies,grc,7,0.491,no
decl¯clinationis,grc,7,0.491,no
dictio,grc,7,0.491,no
dictu2um,grc,7,0.491,no
dicuntur,grc,7,0.491,no
diuersæ,grc,7,0.491,no
ei,grc,7,0.491,no
eius,grc,7,0.491,no
esse,grc,7,0.491,no
euphoniæ,grc,7,0.491,no
excipitur,grc,7,0.491,no
feminina,grc,7,0.491,no
fieri,grc,7,0.491,no
forma2am,grc,7,0.491,no
fortior,grc,7,0.491,no
fortissimus,grc,7,0.491,no
generalis,grc,7,0.491,no
habuerint,grc,7,0.491,no
intellegi,grc,7,0.491,no
intra,grc,7,0.491,no
la,grc,7,0.491,no
more,grc,7,0.491,no
multa,grc,7,0.491,no
mutant,grc,7,0.491,no
mutata,grc,7,0.491,no
ŋproduc¯uctum,grc,7,0.491,no
ŋproducitur,grc,7,0.491,no
ŋproprie,grc,7,0.491,no
ostendit,grc,7,0.491,no
participiis,grc,7,0.491,no
paruus,grc,7,0.491,no
pleru2umq;que,grc,7,0.491,no
posita,grc,7,0.491,no
positiua,grc,7,0.491,no
prior,grc,7,0.491,no
qd¯uod,grc,7,0.491,no
quas,grc,7,0.491,no
quia,grc,7,0.491,no
quib;bus,grc,7,0.491,no
ra,grc,7,0.491,no
regula2am,grc,7,0.491,no
seruus,grc,7,0.491,no
solent,grc,7,0.491,no
sui,grc,7,0.491,no
sus,grc,7,0.491,no
syllabas,grc,7,0.491,no
terminata,grc,7,0.491,no
tertia,grc,7,0.491,no
tus,grc,7,0.491,no
ulterior,grc,7,0.491,no
unius,grc,7,0.491,no
unus,grc,7,0.491,no
þpersona,grc,7,0.491,no
alis,grc,6,0.421,no
as,grc,6,0.421,no
c¯consonante2em,grc,6,0.421,no
co2ommunia,grc,6,0.421,no
co2omparatio,grc,6,0.421,no
cognomen,grc,6,0.421,no
consonantis,grc,6,0.421,no
cula,grc,6,0.421,no
cum,grc,6,0.421,no
desinentib;bus,grc,6,0.421,no
dicebant,grc,6,0.421,no
dictus,grc,6,0.421,no
diuersas,grc,6,0.421,no
dns¯dominus,grc,6,0.421,no
duob;bus,grc,6,0.421,no
eadem,grc,6,0.421,no
equus,grc,6,0.421,no
extrema,grc,6,0.421,no
facere,grc,6,0.421,no
feminino,grc,6,0.421,no
genere,grc,6,0.421,no
hæ,grc,6,0.421,no
ille,grc,6,0.421,no
illius,grc,6,0.421,no
incipit,grc,6,0.421,no
intellectu,grc,6,0.421,no
ire,grc,6,0.421,no
littera,grc,6,0.421,no
maior,grc,6,0.421,no
mobilia,grc,6,0.421,no
na,grc,6,0.421,no
ne,grc,6,0.421,no
neq;que,grc,6,0.421,no
nominis,grc,6,0.421,no
nominu2um,grc,6,0.421,no
ŋpropriæ,grc,6,0.421,no
octo,grc,6,0.421,no
oms¯omnes,grc,6,0.421,no
os,grc,6,0.421,no
p¯preter,grc,6,0.421,no
participiu2um,grc,6,0.421,no
plurali,grc,6,0.421,no
ponitur,grc,6,0.421,no
positione,grc,6,0.421,no
qualitate,grc,6,0.421,no
quattuor,grc,6,0.421,no
que,grc,6,0.421,no
ratione,grc,6,0.421,no
rex,grc,6,0.421,no
significans,grc,6,0.421,no
significatione2em,grc,6,0.421,no
solet,grc,6,0.421,no
supra,grc,6,0.421,no
t,grc,6,0.421,no
tas,grc,6,0.421,no
tertius,grc,6,0.421,no
tota,grc,6,0.421,no
uenit,grc,6,0.421,no
uetus,grc,6,0.421,no
ultima,grc,6,0.421,no
usu,grc,6,0.421,no
x,grc,6,0.421,no
¢quis,grc,5,0.351,no
abiectu2um,grc,5,0.351,no
absq;que,grc,5,0.351,no
achilles,grc,5,0.351,no
adsumunt,grc,5,0.351,no
aliqua,grc,5,0.351,no
arduus,grc,5,0.351,no
ars,grc,5,0.351,no
articulos,grc,5,0.351,no
assu2umpta,grc,5,0.351,no
breuis,grc,5,0.351,no
c,grc,5,0.351,no
c¯coniugatione,grc,5,0.351,no
c¯consonantes,grc,5,0.351,no
caret,grc,5,0.351,no
clarus,grc,5,0.351,no
co2ommune,grc,5,0.351,no
comparatiua,grc,5,0.351,no
coniunctio,grc,5,0.351,no
cor¯correpta,grc,5,0.351,no
cornelius,grc,5,0.351,no
decimus,grc,5,0.351,no
deriuatur,grc,5,0.351,no
desinentiu2um,grc,5,0.351,no
dies,grc,5,0.351,no
diminutiuis,grc,5,0.351,no
diminutiuoru2um,grc,5,0.351,no
diphthongo,grc,5,0.351,no
diphthongu2um,grc,5,0.351,no
dus,grc,5,0.351,no
eade2em,grc,5,0.351,no
exterior,grc,5,0.351,no
extrinsecus,grc,5,0.351,no
fac¯aciunt,grc,5,0.351,no
facientia,grc,5,0.351,no
fem¯eminina,grc,5,0.351,no
fuerit,grc,5,0.351,no
genus,grc,5,0.351,no
gladius,grc,5,0.351,no
greci,grc,5,0.351,no
hector,grc,5,0.351,no
illa,grc,5,0.351,no
illud,grc,5,0.351,no
infra,grc,5,0.351,no
interior,grc,5,0.351,no
ipsa,grc,5,0.351,no
iste,grc,5,0.351,no
ita,grc,5,0.351,no
liber,grc,5,0.351,no
lis,grc,5,0.351,no
longa,grc,5,0.351,no
longa2am,grc,5,0.351,no
maxime,grc,5,0.351,no
mons,grc,5,0.351,no
multoru2um,grc,5,0.351,no
omni,grc,5,0.351,no
omnib;bus,grc,5,0.351,no
omnibus,grc,5,0.351,no
omnis,grc,5,0.351,no
p¯prenomen,grc,5,0.351,no
p¯prepositio,grc,5,0.351,no
p¯presenti,grc,5,0.351,no
petrus,grc,5,0.351,no
pleraq;que,grc,5,0.351,no
posse,grc,5,0.351,no
primitiuu2um,grc,5,0.351,no
qualis,grc,5,0.351,no
quartæ,grc,5,0.351,no
quos,grc,5,0.351,no
r,grc,5,0.351,no
reru2um,grc,5,0.351,no
rimus,grc,5,0.351,no
sciendu2um,grc,5,0.351,no
scipio,grc,5,0.351,no
sex,grc,5,0.351,no
simus,grc,5,0.351,no
singulari,grc,5,0.351,no
specialis,grc,5,0.351,no
suþperlatiuo,grc,5,0.351,no
syll¯yllabam,grc,5,0.351,no
syllabaru2um,grc,5,0.351,no
syllabis,grc,5,0.351,no
tam,grc,5,0.351,no
tempore,grc,5,0.351,no
terminantia,grc,5,0.351,no
terrenus,grc,5,0.351,no
totu2um,grc,5,0.351,no
tribus,grc,5,0.351,no
tu2um,grc,5,0.351,no
uelu2um,grc,5,0.351,no
uerboru2um,grc,5,0.351,no
uiginti,grc,5,0.351,no
uim,grc,5,0.351,no
uirgilius,grc,5,0.351,no
ullus,grc,5,0.351,no
ultimæ,grc,5,0.351,no
uocant,grc,5,0.351,no
uox,grc,5,0.351,no
utuntur,grc,5,0.351,no
¢quid,grc,4,0.281,no
ablatiuus,grc,4,0.281,no
accipit,grc,4,0.281,no
æqualiter,grc,4,0.281,no
africanus,grc,4,0.281,no
agnomina,grc,4,0.281,no
alia2am,grc,4,0.281,no
alio,grc,4,0.281,no
alique2em,grc,4,0.281,no
aliquid,grc,4,0.281,no
alterius,grc,4,0.281,no
anniculus,grc,4,0.281,no
anti¢qui,grc,4,0.281,no
appellatiuoru2um,grc,4,0.281,no
assumit,grc,4,0.281,no
atq;que,grc,4,0.281,no
auctoritate,grc,4,0.281,no
b,grc,4,0.281,no
bini,grc,4,0.281,no
breue,grc,4,0.281,no
c¯consonante,grc,4,0.281,no
casus,grc,4,0.281,no
cetera,grc,4,0.281,no
ceteri,grc,4,0.281,no
citerior,grc,4,0.281,no
citra,grc,4,0.281,no
co2ommunis,grc,4,0.281,no
co2omparatione2em,grc,4,0.281,no
co2omparatiui,grc,4,0.281,no
consonante2em,grc,4,0.281,no
corripiunt,grc,4,0.281,no
datiuo,grc,4,0.281,no
decem,grc,4,0.281,no
declinatione,grc,4,0.281,no
demonstrat,grc,4,0.281,no
deriuari,grc,4,0.281,no
desinens,grc,4,0.281,no
desinentibus,grc,4,0.281,no
deterior,grc,4,0.281,no
detero,grc,4,0.281,no
dicr¯citur,grc,4,0.281,no
dicr¯icitur,grc,4,0.281,no
diphthongus,grc,4,0.281,no
diuersis,grc,4,0.281,no
donatu2um,grc,4,0.281,no
ensis,grc,4,0.281,no
eques,grc,4,0.281,no
excipiuntur,grc,4,0.281,no
extrema2am,grc,4,0.281,no
familiæ,grc,4,0.281,no
fem¯emininum,grc,4,0.281,no
fidelis,grc,4,0.281,no
fortis,grc,4,0.281,no
fuit,grc,4,0.281,no
g,grc,4,0.281,no
geminant,grc,4,0.281,no
generi,grc,4,0.281,no
genitiuu2um,grc,4,0.281,no
greca,grc,4,0.281,no
grece,grc,4,0.281,no
habuit,grc,4,0.281,no
hi,grc,4,0.281,no
homullus,grc,4,0.281,no
homuncio,grc,4,0.281,no
i·us,grc,4,0.281,no
longum,grc,4,0.281,no
lum,grc,4,0.281,no
maiusculus,grc,4,0.281,no
mare,grc,4,0.281,no
masculino,grc,4,0.281,no
masculinu2um,grc,4,0.281,no
melior,grc,4,0.281,no
mercurius,grc,4,0.281,no
minima,grc,4,0.281,no
neu¯neutrum,grc,4,0.281,no
nominatiui,grc,4,0.281,no
numeri,grc,4,0.281,no
numeris,grc,4,0.281,no
ŋproducunt,grc,4,0.281,no
ŋpronomina,grc,4,0.281,no
ŋproprioru2um,grc,4,0.281,no
omnes,grc,4,0.281,no
origine2em,grc,4,0.281,no
participialia,grc,4,0.281,no
paruo,grc,4,0.281,no
pater,grc,4,0.281,no
paulus,grc,4,0.281,no
penultimæ,grc,4,0.281,no
pius,grc,4,0.281,no
plurima,grc,4,0.281,no
poetæ,grc,4,0.281,no
ponunt,grc,4,0.281,no
positiuu2um,grc,4,0.281,no
possessiuoru2um,grc,4,0.281,no
possunt,grc,4,0.281,no
primæ,grc,4,0.281,no
pura,grc,4,0.281,no
qua2amqua2am,grc,4,0.281,no
quantitate,grc,4,0.281,no
quantitatis,grc,4,0.281,no
quantus,grc,4,0.281,no
rem,grc,4,0.281,no
ris,grc,4,0.281,no
salubris,grc,4,0.281,no
secundum,grc,4,0.281,no
sensus,grc,4,0.281,no
sequente,grc,4,0.281,no
significare,grc,4,0.281,no
significatio,grc,4,0.281,no
significatione,grc,4,0.281,no
similis,grc,4,0.281,no
ster,grc,4,0.281,no
substantia,grc,4,0.281,no
substantiæ,grc,4,0.281,no
suo,grc,4,0.281,no
syll¯yllabe,grc,4,0.281,no
syllabæ,grc,4,0.281,no
tangi,grc,4,0.281,no
terminantiu2um,grc,4,0.281,no
tot,grc,4,0.281,no
uenientia,grc,4,0.281,no
uerba,grc,4,0.281,no
uidentur,grc,4,0.281,no
uideri,grc,4,0.281,no
uincunt,grc,4,0.281,no
ula,grc,4,0.281,no
unius cuiusq;que,grc,4,0.281,no
usq;que,grc,4,0.281,no
þpersonæ,grc,4,0.281,no
þpersonas,grc,4,0.281,no
¢quib;busda2am,grc,3,0.21,no
¢quida2am,grc,3,0.21,no
abusiue,grc,3,0.21,no
accidens,grc,3,0.21,no
accidentia,grc,3,0.21,no
addiderunt,grc,3,0.21,no
ae,grc,3,0.21,no
æneas,grc,3,0.21,no
ager,grc,3,0.21,no
aliæ,grc,3,0.21,no
alias,grc,3,0.21,no
alieno,grc,3,0.21,no
aliud,grc,3,0.21,no
alter,grc,3,0.21,no
alternitatis,grc,3,0.21,no
anguilla,grc,3,0.21,no
animal,grc,3,0.21,no
anomalu2um,grc,3,0.21,no
appellatur,grc,3,0.21,no
ar,grc,3,0.21,no
artis,grc,3,0.21,no
asserunt,grc,3,0.21,no
audax,grc,3,0.21,no
augeri,grc,3,0.21,no
auis,grc,3,0.21,no
bis,grc,3,0.21,no
c¯consistit,grc,3,0.21,no
capella,grc,3,0.21,no
casualib;bus,grc,3,0.21,no
centu2um,grc,3,0.21,no
ceteros,grc,3,0.21,no
cicero,grc,3,0.21,no
ciuis,grc,3,0.21,no
co2ommunes,grc,3,0.21,no
co2omparatiuis,grc,3,0.21,no
cognomentu2um,grc,3,0.21,no
communis,grc,3,0.21,no
comparatiuu2um,grc,3,0.21,no
comparatiuus,grc,3,0.21,no
conparatiui,grc,3,0.21,no
cor¯correpto,grc,3,0.21,no
cor¯orrepta,grc,3,0.21,no
cornu,grc,3,0.21,no
corpore,grc,3,0.21,no
cui,grc,3,0.21,no
culu2um,grc,3,0.21,no
debuit,grc,3,0.21,no
decli¯clinationis,grc,3,0.21,no
deminutione2em,grc,3,0.21,no
denominatiuoru2um,grc,3,0.21,no
deos,grc,3,0.21,no
deriuatiuis,grc,3,0.21,no
dexter,grc,3,0.21,no
dicenda,grc,3,0.21,no
dignus,grc,3,0.21,no
disyllabis,grc,3,0.21,no
diu,grc,3,0.21,no
diues,grc,3,0.21,no
diuidi,grc,3,0.21,no
diuisas,grc,3,0.21,no
dixit,grc,3,0.21,no
duabus,grc,3,0.21,no
duæ,grc,3,0.21,no
eande2em,grc,3,0.21,no
eiusdem,grc,3,0.21,no
elis,grc,3,0.21,no
emilianus,grc,3,0.21,no
eodem,grc,3,0.21,no
eorum,grc,3,0.21,no
equester,grc,3,0.21,no
esset,grc,3,0.21,no
etiam,grc,3,0.21,no
exeunt,grc,3,0.21,no
factu2um,grc,3,0.21,no
facturæ,grc,3,0.21,no
femininu2um,grc,3,0.21,no
formas,grc,3,0.21,no
formido,grc,3,0.21,no
frugi,grc,3,0.21,no
fur,grc,3,0.21,no
genera,grc,3,0.21,no
generu2um,grc,3,0.21,no
gentiles,grc,3,0.21,no
gentis,grc,3,0.21,no
gradu,grc,3,0.21,no
gradu2um,grc,3,0.21,no
greco,grc,3,0.21,no
habeat,grc,3,0.21,no
hectore,grc,3,0.21,no
homonyma,grc,3,0.21,no
homullulus,grc,3,0.21,no
huius,grc,3,0.21,no
huiuscemodi,grc,3,0.21,no
ide2em,grc,3,0.21,no
ilis,grc,3,0.21,no
illo,grc,3,0.21,no
illu2um,grc,3,0.21,no
incorporales,grc,3,0.21,no
inferior,grc,3,0.21,no
infinita,grc,3,0.21,no
integro,grc,3,0.21,no
integru2um,grc,3,0.21,no
intellectus,grc,3,0.21,no
interrogatiua,grc,3,0.21,no
inueniantur,grc,3,0.21,no
ista,grc,3,0.21,no
iustior,grc,3,0.21,no
lapis,grc,3,0.21,no
latinitas,grc,3,0.21,no
latinitate2em,grc,3,0.21,no
latinoru2um,grc,3,0.21,no
latinos,grc,3,0.21,no
laude,grc,3,0.21,no
lepus,grc,3,0.21,no
limus,grc,3,0.21,no
longo,grc,3,0.21,no
longus,grc,3,0.21,no
luceo,grc,3,0.21,no
masculinis,grc,3,0.21,no
mille,grc,3,0.21,no
minui,grc,3,0.21,no
minusculus,grc,3,0.21,no
montanus,grc,3,0.21,no
multæ,grc,3,0.21,no
natura2am,grc,3,0.21,no
naturaliter,grc,3,0.21,no
nepos,grc,3,0.21,no
nepotes,grc,3,0.21,no
nequa2am,grc,3,0.21,no
neu¯eutra,grc,3,0.21,no
