register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
substantive,chronicon:0.1.1.2.9.1,CCVII,CCVII,g,,,,,true
substantive,chronicon:0.1.1.2.9.1,CCVII,CCC,a,,,,,false
substantive,chronicon:0.1.1.2.10.0,Assiriorum,Assiriorum,a,,,,,true
substantive,chronicon:0.1.1.2.10.0,Assiriorum,Assisiorum,g,,,,,false
substantive,chronicon:0.1.1.2.12.1,difficilem,difficilem,g,,,,,true
substantive,chronicon:0.1.1.2.12.1,difficilem,difficillimam,a,,,,,false
substantive,chronicon:0.1.1.2.12.2,Orosius,Orosius,g,,,,,true
substantive,chronicon:0.1.1.2.12.2,Orosius,Otosius,a,,,,,false
substantive,chronicon:0.1.1.2.13.0,,,g,,,,,true
substantive,chronicon:0.1.1.2.13.0,,fiunt,a,,,,,false
substantive,chronicon:0.1.1.2.13.1,Cesarem,Cesarem,g,,,,,true
substantive,chronicon:0.1.1.2.13.1,Cesarem,Cessarem,a,,,,,false
substantive,chronicon:0.1.1.2.13.2,id est,id est,g,,,,,true
substantive,chronicon:0.1.1.2.13.2,id est,idem,a,,,,,false
substantive,chronicon:0.1.1.3.2.0,cepit,cepit,g,,,,,true
substantive,chronicon:0.1.1.3.2.0,cepit,certe,a,,,,,false
substantive,chronicon:0.1.1.3.2.3,Zoroas,Zoroas,g,,,,,true
substantive,chronicon:0.1.1.3.2.3,Zoroas,Zaroas,a,,,,,false
substantive,chronicon:0.1.1.3.4.0,Orosius,Orosius,g,,,,,true
substantive,chronicon:0.1.1.3.4.0,Orosius,Otosius,a,,,,,false
substantive,chronicon:0.1.1.3.5.0,primum,primum,g,,,,,true
substantive,chronicon:0.1.1.3.5.0,primum,primus,a,,,,,false
substantive,chronicon:0.1.1.3.5.2,libidine,libidine,g,,,,,true
substantive,chronicon:0.1.1.3.5.2,libidine,libidini,a,,,,,false
substantive,chronicon:0.1.1.3.5.3,. Regnauit,. Regnauit,g,,,,,true
substantive,chronicon:0.1.1.3.5.3,. Regnauit,,a,,,,,false
substantive,chronicon:0.1.1.3.5.4,Ninus,Ninus,g,,,,,true
substantive,chronicon:0.1.1.3.5.4,Ninus,,a,,,,,false
substantive,chronicon:0.1.1.3.5.6,regnauerit,regnauerit,g,,,,,true
substantive,chronicon:0.1.1.3.5.6,regnauerit,regnauit,a,,,,,false
substantive,chronicon:0.1.1.3.5.7,imperii,imperii,g,,,,,true
substantive,chronicon:0.1.1.3.5.7,imperii,imperi,a,,,,,false
