register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
main,collazione-01:0.1.0.28.0.3,yfalle,yfalle,Edition,,,,,true
main,collazione-01:0.1.0.28.0.3,yfalle,yfalle,Edition Bo2 Ch Cx1 Cx2 Ds1 El En1 Fi Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.28.0.3,yfalle,y le,Bo1,,,,,false
main,collazione-01:0.1.0.28.0.3,yfalle,falle,Ad1 En3 Ha2 Ma,,,,,false
main,collazione-01:0.1.0.29.0.1,In,In,Edition,,,,,true
main,collazione-01:0.1.0.29.0.1,In,In,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.2,felaweshipe,felaweshipe,Edition,,,,,true
main,collazione-01:0.1.0.29.0.2,felaweshipe,felaweshipe,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.2,felaweshipe,felyship̄,En1,,,,,false
main,collazione-01:0.1.0.29.0.2,felaweshipe,the felaweshipe,Ld2,,,,,false
main,collazione-01:0.1.0.29.0.3,and,and,Edition,,,,,true
main,collazione-01:0.1.0.29.0.3,and,and,Edition Ad1 Bo1 Bo2 Ch Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.3,and,as,Cx1 Ht,,,,,false
main,collazione-01:0.1.0.29.0.4,pilgrymes,pilgrymes,Edition,,,,,true
main,collazione-01:0.1.0.29.0.4,pilgrymes,pilgrymes,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.5,weere,weere,Edition,,,,,true
main,collazione-01:0.1.0.29.0.5,weere,weere,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.6,they,they,Edition,,,,,true
main,collazione-01:0.1.0.29.0.6,they,they,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.29.0.7,alle,alle,Edition,,,,,true
main,collazione-01:0.1.0.29.0.7,alle,alle,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.30.0.1,That toward,That toward,Edition,,,,,true
main,collazione-01:0.1.0.30.0.1,That toward,That toward,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 El En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii Lc Ld1 Ld2 Mg Ph2 Pn Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.30.0.1,That toward,And toward,Ds1 En1 Ma,,,,,false
main,collazione-01:0.1.0.30.0.1,That toward,To warde,La,,,,,false
main,collazione-01:0.1.0.30.0.1,That toward,Thei toward,Ps,,,,,false
main,collazione-01:0.1.0.30.0.2,Caunterbury,Caunterbury,Edition,,,,,true
main,collazione-01:0.1.0.30.0.2,Caunterbury,Caunterbury,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.30.0.2,Caunterbury,Caunterbury þat,La,,,,,false
main,collazione-01:0.1.0.30.0.3,wolden,wolden,Edition,,,,,true
main,collazione-01:0.1.0.30.0.3,wolden,wolden,Edition Bo1 Ch Cx1 Cx2 El Ha3 Ha4 Hg Ph2 Pn Py,,,,,false
