type,id,label,occurrences,lat,lon
place,Cambodja,Cambodja,3,,
place,Macazarica,Macazarica,2,,
place,Asia,Asia,1,,
place,Almaligh,Almaligh,5,,
place,http://pleiades.stoa.org/places/148004,Avinionem,1,,
place,Avenio,Avenio,1,,
place,https://pleiades.stoa.org/places/413037,Assisii,1,,
place,Assisium,Assisium,1,,
place,https://pleiades.stoa.org/places/1004,mare Adriaticum,1,,
place,Adriaticum,Adriaticum,1,,
place,Sclavonia,Sclavonia,1,,
place,https://www.geonames.org/390903,Graeciam,1,,
place,Graecia,Graecia,1,,
place,https://www.geonames.org/262143/,Galatas,1,,
place,Galatas,Galatas,1,,
place,http://pleiades.stoa.org/places/520998,Constantinopolim,1,,
place,Constantinopolis,Constantinopolis,1,,
place,Maurum mare,Maurum mare,1,,
place,Tana (Asov),Tana (Asov),1,,
place,Urgandj,Urgandj,4,,
place,Medorum Imperium,Medorum Imperium,5,,
place,https://pleiades.stoa.org/places/687928,Ierusalem,1,,
place,Ierusalem,Ierusalem,1,31.769,35.2163
place,https://pleiades.stoa.org/places/912964,Tigris,1,,
place,Tigris,Tigris,1,,
place,Vatuk mare,Vatuk mare,1,,
place,Saraichik,Saraichik,1,,
place,https://pleiades.stoa.org/places/981507,Armenie,1,40.1,45
place,Armenia,Armenia,1,,
place,Ulysippone,Ulysippone,4,,
place,Neapolis,Neapolis,4,,
place,Italia,Italia,1,,
place,Macassar,Macassar,1,,
place,Salsetanae regionis,Salsetanae regionis,4,,
place,Atalaya,Atalaya,1,,
place,Urbevetanus,Urbevetanus,1,,
place,Monte Maiore,Monte Maiore,2,,
place,Braccarensis,Braccarensis,1,,
place,Lamego,Lamego,1,41.0974,'-7.8099
place,Sancto Petro de [Torrados],Sancto Petro de [Torrados],1,,
place,Ciampa,Ciampa,1,,
place,Torres Vedras,Torres Vedras,1,39.0911,'-9.2586
place,Fontanarosa,Fontanarosa,1,41.0181,15.0206
place,Barcellos,Barcellos,1,41.53,'-8.62
place,Canzusaensis Residentia,Canzusaensis Residentia,1,,
place,Koga,Koga,1,,
place,Konoura,Konoura,2,,
place,Tokitsu,Tokitsu,1,,
place,Shiki,Shiki,1,,
place,Sumoto,Sumoto,1,,
place,Oyano,Oyano,1,,
place,Katsusa,Katsusa,1,,
place,Shimabara,Shimabara,1,,
place,Meacoensis Residentia,Meacoensis Residentia,1,,
place,https://www.geonames.org/3067696,PRAGAE,1,50.088,14.4208
place,Praga,Praga,1,,
place,Cortalinum,Cortalinum,1,,
place,https://rbms.info/lpn/v/vlysipone/,Olyssipone,1,,
place,Lisboa,Lisboa,1,,
place,Palaestina,Palaestina,1,,
place,place:fingo,Fingo,4,32.8,130.7
place,place:firando,Firando,7,33.37,129.55
place,place:nangasaqui,Nangasaqui,1,32.75,129.87
place,place:manilae,Manilae,11,14.6042,120.9822
place,place:chambaliech,Chambaliech,1,39.9075,116.3972
place,place:cambaliech,Cambaliech,5,39.9075,116.3972
place,place:yndie,Yndie,3,22,79
place,place:sinarum,Sinarum,27,35,103
place,place:peking,Peking,42,39.9075,116.3972
place,place:honan,Honan,6,34.6735,112.4368
place,place:macao,Macao,18,22.2006,113.5461
place,place:sine,Sinȩ,8,35.315,46.9988
place,place:sina,Sina,19,35,103
place,place:makau,Makau,1,22.2006,113.5461
place,place:suvo,Suvó,1,'-18.1368,178.4253
place,place:cochim,Cochim,2,9.9399,76.2602
place,place:formosa,Formosa,3,23.7,121
place,place:colonie,Colonie,1,50.94,6.96
place,place:rome,Rome,2,41.8919,12.5113
place,place:pequini,Pequini,4,39.9075,116.3972
place,place:hamburgum,Hamburgum,1,53.5507,9.993
place,place:kienning,Kienning,1,27.0415,118.319
place,place:bruxellae,Bruxellae,1,50.8505,4.3488
place,place:uto,Uto,2,32.6833,130.6667
place,place:corai,Corai,1,36.5,127.8
