form,lang,count,per_thousand,stopword
εἴη,grc,57,0.654,no
ἑταίρους,grc,57,0.654,no
ὀδυσεὺς,grc,57,0.654,no
ηὔδα,grc,56,0.642,no
θαλάσσης,grc,56,0.642,no
μεγάροισιν,grc,56,0.642,no
χεῖρας,grc,56,0.642,no
ἀχαιῶν,grc,55,0.631,no
κατʼ,grc,55,0.631,no
ἤ,grc,54,0.619,no
μεγάροισι,grc,54,0.619,no
μετʼ,grc,54,0.619,no
αἱ,grc,53,0.608,no
ἀνθρώπων,grc,53,0.608,no
βῆ,grc,53,0.608,no
κέν,grc,53,0.608,no
μνηστῆρας,grc,53,0.608,no
πεπνυμένος,grc,53,0.608,no
σοὶ,grc,53,0.608,no
τῇ,grc,53,0.608,no
ἀνὰ,grc,52,0.596,no
ἑταῖροι,grc,52,0.596,no
νύ,grc,52,0.596,no
οἶνον,grc,52,0.596,no
γλαυκῶπις,grc,51,0.585,no
ἀτὰρ,grc,50,0.573,no
διὰ,grc,50,0.573,no
ὀδυσῆα,grc,50,0.573,no
οἶκον,grc,50,0.573,no
οἴκῳ,grc,50,0.573,no
ὃν,grc,50,0.573,no
πόντον,grc,50,0.573,no
σφιν,grc,50,0.573,no
τάδε,grc,50,0.573,no
τέ,grc,50,0.573,no
αἶψα,grc,49,0.562,no
ἔπειτʼ,grc,49,0.562,no
ἔφαθʼ,grc,49,0.562,no
ὅθι,grc,49,0.562,no
πάντων,grc,49,0.562,no
πάρος,grc,49,0.562,no
αὐτίκʼ,grc,48,0.551,no
αὐτίκα,grc,48,0.551,no
ποτʼ,grc,48,0.551,no
ταῦτα,grc,48,0.551,no
ἅμα,grc,47,0.539,no
ἐνθάδʼ,grc,47,0.539,no
ἦτορ,grc,47,0.539,no
ἐμὲ,grc,46,0.528,no
ἦεν,grc,46,0.528,no
ᾧ,grc,46,0.528,no
δῖα,grc,45,0.516,no
ἐόντα,grc,45,0.516,no
ἱκέσθαι,grc,45,0.516,no
μήτηρ,grc,45,0.516,no
περίφρων,grc,45,0.516,no
δώματα,grc,44,0.505,no
ἐφάμην,grc,44,0.505,no
ἦμαρ,grc,44,0.505,no
ἡμεῖς,grc,44,0.505,no
μεγάροιο,grc,44,0.505,no
ὕδωρ,grc,44,0.505,no
φίλος,grc,44,0.505,no
ἄλλων,grc,43,0.493,no
ἔκ,grc,43,0.493,no
ἔτʼ,grc,43,0.493,no
ἡμῖν,grc,43,0.493,no
ξεῖνε,grc,43,0.493,no
πατὴρ,grc,43,0.493,no
ὧδε,grc,43,0.493,no
αὖτις,grc,42,0.482,no
ἦλθε,grc,42,0.482,no
μένος,grc,42,0.482,no
πὰρ,grc,42,0.482,no
πω,grc,42,0.482,no
αἴ,grc,41,0.47,no
ἀμφʼ,grc,41,0.47,no
ἔμμεναι,grc,41,0.47,no
ἐμὸν,grc,41,0.47,no
ἔργον,grc,41,0.47,no
παρʼ,grc,41,0.47,no
ὑπʼ,grc,41,0.47,no
φωνήσας,grc,41,0.47,no
δῶρα,grc,40,0.459,no
εἵματα,grc,40,0.459,no
ἤματα,grc,40,0.459,no
μάλιστα,grc,40,0.459,no
μευ,grc,40,0.459,no
πόλιν,grc,40,0.459,no
πολὺ,grc,40,0.459,no
σύ,grc,40,0.459,no
τόξον,grc,40,0.459,no
φαιήκων,grc,40,0.459,no
ἄλλο,grc,39,0.447,no
εἰπὼν,grc,39,0.447,no
ἐρέω,grc,39,0.447,no
κεῖνος,grc,39,0.447,no
μέγαν,grc,39,0.447,no
ὄλεθρον,grc,39,0.447,no
τηλέμαχον,grc,39,0.447,no
υἱός,grc,39,0.447,no
ἔνδον,grc,38,0.436,no
ἐστὶ,grc,38,0.436,no
νηὶ,grc,38,0.436,no
νόστον,grc,38,0.436,no
ξεῖνος,grc,38,0.436,no
ὅπως,grc,38,0.436,no
πᾶσιν,grc,38,0.436,no
πόλλʼ,grc,38,0.436,no
ποτε,grc,38,0.436,no
τινʼ,grc,38,0.436,no
δῆμον,grc,37,0.424,no
ἰὼν,grc,37,0.424,no
οὖν,grc,37,0.424,yes
πολύτλας,grc,37,0.424,no
πόντῳ,grc,37,0.424,no
πρῶτον,grc,37,0.424,no
υἱὸς,grc,37,0.424,no
δώματʼ,grc,36,0.413,no
ἔην,grc,36,0.413,no
ἴδον,grc,36,0.413,no
ἰθάκης,grc,36,0.413,no
μνηστῆρσιν,grc,36,0.413,no
μνηστήρων,grc,36,0.413,no
μοῖραν,grc,36,0.413,no
πάτερ,grc,36,0.413,no
φίλοι,grc,36,0.413,no
χερσὶν,grc,36,0.413,no
αὐτοὶ,grc,35,0.401,no
ἂψ,grc,35,0.401,no
ἣν,grc,35,0.401,no
κῦμα,grc,35,0.401,no
μῆλα,grc,35,0.401,no
ξεῖνον,grc,35,0.401,no
ποτὶ,grc,35,0.401,no
τὼ,grc,35,0.401,no
φρεσὶν,grc,35,0.401,no
χαλκῷ,grc,35,0.401,no
ἄνδρες,grc,34,0.39,no
βροτῶν,grc,34,0.39,no
ἦλθεν,grc,34,0.39,no
ἴμεν,grc,34,0.39,no
κλέος,grc,34,0.39,no
νέεσθαι,grc,34,0.39,no
ὁδὸν,grc,34,0.39,no
ὅττι,grc,34,0.39,no
πᾶσι,grc,34,0.39,no
ἄλλον,grc,33,0.378,no
ἀμειβόμενος,grc,33,0.378,no
ἄνακτος,grc,33,0.378,no
ἀντίνοος,grc,33,0.378,no
γυναικῶν,grc,33,0.378,no
ἔνθεν,grc,33,0.378,no
ἐὼν,grc,33,0.378,no
ἰδὼν,grc,33,0.378,no
λαῶν,grc,33,0.378,no
μύθων,grc,33,0.378,no
ὅτʼ,grc,33,0.378,no
αἰὲν,grc,32,0.367,no
ἄλλα,grc,32,0.367,no
ἄνδρα,grc,32,0.367,no
δόμον,grc,32,0.367,no
ἐστιν,grc,32,0.367,no
ἔχουσιν,grc,32,0.367,no
ἦν,grc,32,0.367,no
ἠώς,grc,32,0.367,no
καλὰ,grc,32,0.367,no
καλὸν,grc,32,0.367,no
κεῖται,grc,32,0.367,no
μενέλαος,grc,32,0.367,no
συβώτης,grc,32,0.367,no
τάχα,grc,32,0.367,no
ἀλκινόοιο,grc,31,0.356,no
ἄστυ,grc,31,0.356,no
δαίμων,grc,31,0.356,no
ἕκαστα,grc,31,0.356,no
ἔνι,grc,31,0.356,no
ἐπέεσσι,grc,31,0.356,no
ἔχων,grc,31,0.356,no
ἠέλιος,grc,31,0.356,no
θυμόν,grc,31,0.356,no
μᾶλλον,grc,31,0.356,no
πως,grc,31,0.356,no
φέρων,grc,31,0.356,no
ὦκα,grc,31,0.356,no
αὐτὴ,grc,30,0.344,no
γέρων,grc,30,0.344,no
δήμῳ,grc,30,0.344,no
ἐλθὼν,grc,30,0.344,no
ἔσαν,grc,30,0.344,no
ἦμος,grc,30,0.344,no
θεά,grc,30,0.344,no
θεὰ,grc,30,0.344,no
θεοῖσιν,grc,30,0.344,no
θυμός,grc,30,0.344,no
κῆρ,grc,30,0.344,no
οἴκαδʼ,grc,30,0.344,no
ὅν,grc,30,0.344,no
οὕτω,grc,30,0.344,no
πόσιν,grc,30,0.344,no
χερσὶ,grc,30,0.344,no
ἄλγεα,grc,29,0.333,no
ἀχαιοί,grc,29,0.333,no
δέμας,grc,29,0.333,no
δύω,grc,29,0.333,no
ἐμοί,grc,29,0.333,no
ἐπὴν,grc,29,0.333,no
ἣ,grc,29,0.333,no
ἠελίοιο,grc,29,0.333,no
θοὴν,grc,29,0.333,no
λίην,grc,29,0.333,no
νῆσον,grc,29,0.333,no
οὐρανὸν,grc,29,0.333,no
σῖτον,grc,29,0.333,no
τοῦτο,grc,29,0.333,no
ἄγχι,grc,28,0.321,no
ἀλλήλους,grc,28,0.321,no
ἁλὸς,grc,28,0.321,no
αὐτὸν,grc,28,0.321,no
αὐτός,grc,28,0.321,no
εἴπω,grc,28,0.321,no
ἔχει,grc,28,0.321,no
ἦλθον,grc,28,0.321,no
θεάων,grc,28,0.321,no
ἵνʼ,grc,28,0.321,no
μέλαιναν,grc,28,0.321,no
οὐκέτι,grc,28,0.321,no
πολλοὶ,grc,28,0.321,no
στήθεσσι,grc,28,0.321,no
τῆς,grc,28,0.321,no
τοῖς,grc,28,0.321,no
τόν,grc,28,0.321,no
ἄριστοι,grc,27,0.31,no
γαίης,grc,27,0.31,no
θείοιο,grc,27,0.31,no
καλά,grc,27,0.31,no
κούρη,grc,27,0.31,no
μεγάροις,grc,27,0.31,no
μελαίνῃ,grc,27,0.31,no
μηδʼ,grc,27,0.31,no
ὀφθαλμοῖσιν,grc,27,0.31,no
πάϊς,grc,27,0.31,no
πρῶτα,grc,27,0.31,no
τοί,grc,27,0.31,no
τόφρα,grc,27,0.31,no
ἀμύμονος,grc,26,0.298,no
δάκρυ,grc,26,0.298,no
ἐπέεσσιν,grc,26,0.298,no
ἔστι,grc,26,0.298,no
εὔμαιε,grc,26,0.298,no
ἠμὲν,grc,26,0.298,no
θυγάτηρ,grc,26,0.298,no
θύραζε,grc,26,0.298,no
ἰδέσθαι,grc,26,0.298,no
ἰθάκην,grc,26,0.298,no
ῥά,grc,26,0.298,no
τηλέμαχʼ,grc,26,0.298,no
ὕπνος,grc,26,0.298,no
ἀθηναίη,grc,25,0.287,no
ἀνθρώπους,grc,25,0.287,no
δὴν,grc,25,0.287,no
ἐὺ,grc,25,0.287,no
θῆκε,grc,25,0.287,no
ὀΐω,grc,25,0.287,no
στῆ,grc,25,0.287,no
τὰς,grc,25,0.287,no
ὑπὲρ,grc,25,0.287,no
ἀθανάτοισι,grc,24,0.275,no
αἶψʼ,grc,24,0.275,no
ἀτρεκέως,grc,24,0.275,no
εἰπὲ,grc,24,0.275,no
ἔλθοι,grc,24,0.275,no
ἔσσεται,grc,24,0.275,no
ἠμείβετʼ,grc,24,0.275,no
ἦσαν,grc,24,0.275,no
ἰέναι,grc,24,0.275,no
κῆρυξ,grc,24,0.275,no
μετέειπε,grc,24,0.275,no
νηῒ,grc,24,0.275,no
ξεῖνʼ,grc,24,0.275,no
παλλὰς,grc,24,0.275,no
τινα,grc,24,0.275,no
ὢ,grc,24,0.275,no
ἄν,grc,23,0.264,no
ἀνδρὸς,grc,23,0.264,no
ἀνήρ,grc,23,0.264,no
ἀπʼ,grc,23,0.264,no
αὐτῆς,grc,23,0.264,no
αὐτόν,grc,23,0.264,no
δῖαν,grc,23,0.264,no
εἵνεκα,grc,23,0.264,no
ἐσσι,grc,23,0.264,no
ἔσται,grc,23,0.264,no
ἐστίν,grc,23,0.264,no
νηῦς,grc,23,0.264,no
ὃ,grc,23,0.264,no
ὀδυσσεῦ,grc,23,0.264,no
ὀπίσσω,grc,23,0.264,no
πέρι,grc,23,0.264,no
πού,grc,23,0.264,no
τόδʼ,grc,23,0.264,no
φίλην,grc,23,0.264,no
φρένας,grc,23,0.264,no
αἲ,grc,22,0.252,no
βίοτον,grc,22,0.252,no
βοῶν,grc,22,0.252,no
δαῖτα,grc,22,0.252,no
δώμαθʼ,grc,22,0.252,no
ἔβη,grc,22,0.252,no
ἔγχος,grc,22,0.252,no
ἔειπεν,grc,22,0.252,no
εἴσω,grc,22,0.252,no
ἕκαστος,grc,22,0.252,no
ἐνθάδε,grc,22,0.252,no
ἑτάρων,grc,22,0.252,no
ἠριγένεια,grc,22,0.252,no
θάνατον,grc,22,0.252,no
θεοῖσι,grc,22,0.252,no
ἵκετο,grc,22,0.252,no
ἵκοντο,grc,22,0.252,no
κίρκη,grc,22,0.252,no
νῆας,grc,22,0.252,no
οἶος,grc,22,0.252,no
ὁππότε,grc,22,0.252,no
ὅσσα,grc,22,0.252,no
πατέρʼ,grc,22,0.252,no
πόποι,grc,22,0.252,no
πότμον,grc,22,0.252,no
πῦρ,grc,22,0.252,no
πῶς,grc,22,0.252,no
ῥοδοδάκτυλος,grc,22,0.252,no
σέ,grc,22,0.252,no
τηλεμάχῳ,grc,22,0.252,no
τήν,grc,22,0.252,no
φάνη,grc,22,0.252,no
φίλη,grc,22,0.252,no
χρὴ,grc,22,0.252,no
χροῒ,grc,22,0.252,no
ἀγορεύεις,grc,21,0.241,no
ἅλα,grc,21,0.241,no
ἄναξ,grc,21,0.241,no
ἀνώγει,grc,21,0.241,no
ἄπο,grc,21,0.241,no
αὔτως,grc,21,0.241,no
γύναι,grc,21,0.241,no
δεῦρο,grc,21,0.241,no
ἑ,grc,21,0.241,no
ἔειπε,grc,21,0.241,no
εἰδώς,grc,21,0.241,no
ἔμπης,grc,21,0.241,no
ἕποντο,grc,21,0.241,no
ἑτάροισιν,grc,21,0.241,no
ἔχοντες,grc,21,0.241,no
ἧος,grc,21,0.241,no
ἦρχε,grc,21,0.241,no
κὰδ,grc,21,0.241,no
