register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ldlt-balex:0.1.1.0.61.3.2,confligeret,confligeret,M U,,,,,true
critical,ldlt-balex:0.1.1.0.61.3.2,confligeret,confligere,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.61.3.3,latius,latius,U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.61.3.3,latius,longius,M,,,,,false
critical,ldlt-balex:0.1.1.0.61.3.4,passi,passi,M,,,,,true
critical,ldlt-balex:0.1.1.0.61.3.4,passi,pass(a)e,U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.61.4.0,Vliam,Vliam,,Ciacconius,,,,true
critical,ldlt-balex:0.1.1.0.61.4.0,Vliam,ullam,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.61.5.0,sibi usui,sibi usui,M U T V,,,,,true
critical,ldlt-balex:0.1.1.0.61.5.0,sibi usui,Marcus (per compendium) sibi usu,S,,,,,false
critical,ldlt-balex:0.1.1.0.61.5.0,sibi usui,magno sibi usui,,Oudendorp,,,,false
critical,ldlt-balex:0.1.1.0.62.0.0,Paucis diebus Q.,Paucis diebus Q.,S,,,,,true
critical,ldlt-balex:0.1.1.0.62.0.0,Paucis diebus Q.,paucis diebusque,M U,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.0,Paucis diebus Q.,paucisque diebus,T,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.0,Paucis diebus Q.,paucis diebus,V,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.1,ei legioni,ei legioni,,Jurinius,,,,true
critical,ldlt-balex:0.1.1.0.62.0.1,ei legioni,ei legionem,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.2,complures,complures,,Jurinius,,,,true
critical,ldlt-balex:0.1.1.0.62.0.2,complures,compluresque,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.3,auxiliares,auxiliares,,scripsimus,,,,true
critical,ldlt-balex:0.1.1.0.62.0.3,auxiliares,auxiliariis,M U T V,,,,,false
critical,ldlt-balex:0.1.1.0.62.0.3,auxiliares,auxiliarias,S,,,,,false
critical,ldlt-balex:0.1.1.0.62.1.0,Marcello fauebant,Marcello fauebant,M U,,,,,true
critical,ldlt-balex:0.1.1.0.62.1.0,Marcello fauebant,"Marcellum
                           fouebant",S T V,,,,,false
critical,ldlt-balex:0.1.1.0.62.1.0,Marcello fauebant,Marcelli,,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.62.1.1,utrumque,utrumque,M U,,,,,true
critical,ldlt-balex:0.1.1.0.62.1.1,utrumque,utrimque,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.62.1.2,transferente,transferente,M Uc,,,,,true
critical,ldlt-balex:0.1.1.0.62.1.2,transferente,transferentem,Uac S T V,,,,,false
critical,ldlt-balex:0.1.1.0.63.4.1,prope iam,prope iam,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.63.4.1,prope iam,prope etiam,,Credo,,,,false
critical,ldlt-balex:0.1.1.0.63.4.2,constituta opera cum,constituta opera cum,Aldus,,,,,true
critical,ldlt-balex:0.1.1.0.63.4.2,constituta opera cum,constituta opera,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.63.4.2,constituta opera cum,pace constituta opera cum,,Nipperdey,,,,false
